Date,Power
2023-01-02,1126.38
2023-01-03,1184.01
2023-01-04,5864.15
2023-01-05,3875.58
2023-01-06,2313.95
2023-01-07,0.0
2023-01-08,0.0
2023-01-09,1124.16
2023-01-10,1586.71
2023-01-11,5177.89
2023-01-12,5376.55
2023-01-13,4062.18
2023-01-14,4927.9
2023-01-15,5283.98
2023-01-16,4531.03
2023-01-17,2629.43
2023-01-18,3580.88
2023-01-19,3442.85
2023-01-20,4504.38
2023-01-21,4607.61
2023-01-22,4802.69
2023-01-23,4764.0
2023-01-24,2815.57
2023-01-25,2298.8
2023-01-26,4673.97
2023-01-27,2187.07
2023-01-28,1484.26
2023-01-29,3024.16
2023-01-30,3730.84
2023-01-31,2937.91
2023-02-01,3743.01
2023-02-02,2159.18
2023-02-03,2163.98
2023-02-04,4424.47
2023-02-05,4945.37
2023-02-06,3625.63
2023-02-07,1643.71
2023-02-08,5206.79
2023-02-09,3228.53
2023-02-10,4218.41
2023-02-11,1441.1
2023-02-12,1991.54
2023-02-13,1389.97
2023-02-14,2931.83
2023-02-15,5348.04
2023-02-16,3924.46
2023-02-17,3931.13
2023-02-18,4859.16
2023-02-19,4396.09
2023-02-20,3111.19
2023-02-21,2475.84
2023-02-22,2466.76
2023-02-23,3666.46
2023-02-24,1622.27
2023-02-25,2584.46
2023-02-26,2139.84
2023-02-27,2661.58
2023-02-28,1807.45
